0,"[909, 1191]"
1,"[1074, 892]"
2,"[531, 2278]"
3,"[576, 2257]"
4,"[102, 813]"
5,"[971, 1586]"
6,"[1046, 2261]"
7,"[238, 1124]"
8,"[720, 2088]"
9,"[616, 1900]"
10,"[1195, 786]"
11,"[528, 1993]"
12,"[687, 1673]"
13,"[799, 1996]"
14,"[896, 2294]"
15,"[726, 2097]"
16,"[752, 2048]"
17,"[626, 1903]"
18,"[1188, 775]"
19,"[547, 1991]"
20,"[760, 1750]"
21,"[74, 777]"
22,"[1068, 886]"
23,"[154, 728]"
24,"[350, 1534]"
25,"[1072, 915]"
26,"[319, 765]"
27,"[219, 756]"
28,"[1255, 2031]"
29,"[462, 1982]"
30,"[1241, 1948]"
31,"[1068, 1915]"
32,"[1001, 1859]"
33,"[273, 1817]"
34,"[43, 1815]"
35,"[828, 1800]"
36,"[887, 1403]"
37,"[41, 1021]"
38,"[988, 2448]"
39,"[738, 2356]"
40,"[1254, 2355]"
41,"[1069, 2127]"
42,"[46, 2023]"
43,"[422, 1998]"
44,"[55, 1926]"
45,"[1200, 1888]"
46,"[1243, 1819]"
47,"[622, 1728]"
48,"[1149, 1718]"
49,"[1250, 1705]"
50,"[42, 1679]"
51,"[1256, 1606]"
52,"[43, 1604]"
53,"[1167, 1583]"
54,"[43, 1533]"
55,"[1226, 1521]"
56,"[144, 1518]"
57,"[355, 1277]"
58,"[55, 1251]"
59,"[1253, 1213]"
60,"[947, 1044]"
61,"[1256, 1006]"
62,"[43, 915]"
63,"[1243, 887]"
64,"[44, 829]"
65,"[1200, 787]"
66,"[1184, 775]"
67,"[1247, 744]"
68,"[1188, 730]"
69,"[198, 658]"
70,"[191, 565]"
71,"[161, 1202]"
72,"[710, 2431]"
73,"[1253, 2238]"
74,"[494, 1747]"
75,"[155, 1696]"
76,"[209, 1544]"
77,"[891, 1234]"
78,"[1238, 1081]"
79,"[402, 992]"
80,"[1071, 867]"
81,"[200, 785]"
82,"[417, 2408]"
83,"[1257, 2171]"
84,"[461, 2074]"
85,"[1084, 1703]"
86,"[93, 1531]"
87,"[666, 1462]"
88,"[780, 1416]"
89,"[43, 1411]"
90,"[1257, 1363]"
91,"[866, 1207]"
92,"[1058, 783]"
93,"[229, 635]"
94,"[1060, 2421]"
95,"[1059, 2247]"
96,"[907, 2299]"
97,"[242, 1113]"
98,"[797, 1988]"
99,"[223, 1063]"
100,"[1105, 2366]"
101,"[900, 1796]"
102,"[752, 1771]"
103,"[283, 1466]"
104,"[274, 1433]"
105,"[1095, 1165]"
106,"[221, 1075]"
107,"[211, 1022]"
108,"[204, 576]"
109,"[1034, 1026]"
110,"[457, 2339]"
111,"[1059, 1540]"
112,"[1085, 1442]"
113,"[134, 1095]"
114,"[680, 2038]"
115,"[581, 1966]"
116,"[331, 1681]"
117,"[491, 2023]"
118,"[363, 1330]"
119,"[876, 1444]"
120,"[779, 2033]"
121,"[1180, 2048]"
122,"[1105, 1814]"
123,"[167, 1921]"
124,"[102, 1676]"
125,"[140, 1263]"
126,"[1061, 1101]"
127,"[1092, 744]"
128,"[224, 1464]"
129,"[1205, 1129]"
130,"[1112, 2200]"
131,"[917, 1774]"
132,"[1028, 1573]"
133,"[590, 1922]"
134,"[85, 1040]"
135,"[107, 1938]"
136,"[135, 1607]"
137,"[112, 1244]"
138,"[424, 1628]"
139,"[117, 1406]"
140,"[78, 1618]"
141,"[249, 1676]"
